author,school
曙光,黑龙江哈尔滨150001哈尔滨理工大学计算机学院
李莹莹,国防科学技术大学电子科学与工程学院
刘云辉,国防科学技术大学电子科学与工程学院
樊玮虹,国防科学技术大学电子科学与工程学院
蔡宣平,国防科学技术大学电子科学与工程学院
李波,国防科学技术大学电子科学与工程学院
余杨,南京理工大学信息物理与工程系
闵富红,南京理工大学信息物理与工程系
倪晓武,南京理工大学信息物理与工程系
张宏超,南京理工大学信息物理与工程系
张泽明,中国科学技术大学计算机科学技术系
罗文坚,中国科学技术大学计算机科学技术系
王煦法,中国科学技术大学计算机科学技术系
方斌,北京航空航天大学机器人研究所
丑武胜,北京航空航天大学机器人研究所
董明杰,北京航空航天大学机器人研究所
马鑫,北京航空航天大学机器人研究所
郭晓旗,北京航空航天大学机器人研究所
吴耀,北京航空航天大学机械工程及自动化学院
王田苗,北京航空航天大学机械工程及自动化学院
王晓刚,北京航空航天大学机械工程及自动化学院
刘淼,北京航空航天大学机械工程及自动化学院
王肖锋,河北工业大学机械工程学院
刘军,河北工业大学机械工程学院
洪炳镕,智能机器人研究室
吴葳,智能机器人研究室 黑龙江哈尔滨150001
钱徽,浙江大学计算机学院
吴春明,浙江大学计算机学院
朱淼良,浙江大学计算机学院
蔡则苏,哈尔滨工业大学计算机科学与技术学院
周兰凤,哈尔滨工业大学计算机科学与技术学院
洪炳熔,哈尔滨工业大学计算机科学与技术学院 山东威海264209
洪炳熔,哈尔滨工业大学计算机科学与技术学院 黑龙江哈尔滨150001
王玲,国防科技大学电子科学与工程学院
邵金鑫,国防科技大学电子科学与工程学院 湖南长沙410073
万建伟,香港中文大学自动化与计算机辅助工程系
刘云辉,中国香港
高庆吉,中国民航大学机器人研究所
雷亚莉,中国民航大学机器人研究所 天津 300300 天津市智能信号与图象处理重点实验室
胡丹丹,天津 300300 西北电力设计院
于咏生,陕西西安 710032
刘贞,哈尔滨工业大学自动化测试与控制系
丁明理,哈尔滨工业大学自动化测试与控制系
王祁,哈尔滨工业大学自动化测试与控制系
石杏喜,南京理工大学理学院
赵春霞,南京理工大学理学院
郭剑辉,南京理工大学理学院
陈凤东,哈尔滨工业大学电气工程与自动化学院
刘丁,西安理工大学自动化与信息工程学院
刘春阳,华北电力大学控制与计算机工程学院
谭应清,华北电力大学控制与计算机工程学院
柳长安,华北电力大学控制与计算机工程学院
马莹巍,华北电力大学控制与计算机工程学院
曹政才,北京化工大学信息科学与技术学院
温金涛,北京化工大学信息科学与技术学院
吴启迪,北京化工大学信息科学与技术学院
罗荣华,华南理工大学计算机科学与工程学院
李珺,东北林业大学机电工程学院
潘启树,东北林业大学机电工程学院
周浦城,东北林业大学机电工程学院
洪炳镕,东北林业大学机电工程学院
赵应涛,北京化工大学信息科学与技术学院
鄢小虎,华北电力大学控制与计算机工程学院
吴华,华北电力大学控制与计算机工程学院
胡俊,南京师范大学数学科学学院
付宜利,北京化工大学信息科学与技术学院
钟秋波,宁波工程学院电子与信息工程学院
杨滨,中国船舶重工集团公司第703研究所
徐晓晴,南京师范大学计算机科学与技术学院
许烁,上海大学机电工程与自动化学院
赵其杰,上海大学机电工程与自动化学院
张扬名,湖南工程学院
巩敦卫,中国矿业大学信息与电气工程学院
戚成亮,中国矿业大学信息与电气工程学院
张勇,中国矿业大学信息与电气工程学院
胡滢,中国矿业大学信息与电气工程学院
张建化,中国矿业大学信息与电气工程学院
张红强,湖南大学电气与信息工程学院
章兢,湖南大学电气与信息工程学院
周少武,湖南大学电气与信息工程学院
曾照福,湖南大学电气与信息工程学院
吴亮红,湖南大学电气与信息工程学院
钱夔,东南大学仪器科学与工程学院
宋爱国,东南大学仪器科学与工程学院
王阳,上海大学机电工程与自动化学院
孙成恺,上海大学机电工程与自动化学院
曹少中,北京印刷学院高端印刷装备信号与信息处理北京市重点实验室
赵伟,北京印刷学院高端印刷装备信号与信息处理北京市重点实验室
王保防,南京理工大学自动化学院
张瑞雷,南京理工大学自动化学院
郭健,南京理工大学自动化学院
陈庆伟,南京理工大学自动化学院
龚道雄,北京工业大学信息学部自动化学院
何睿,北京工业大学信息学部自动化学院
左国玉,北京工业大学信息学部自动化学院
于建均,北京工业大学信息学部自动化学院
李壮举,北京建筑大学电信学院
梅杰,北京建筑大学电信学院
曹少中,北京建筑大学电信学院
赵伟,北京建筑大学电信学院
杨农林,华中理工大学交通学院智能机械与控制研究所
吴刚,430074
黄真,燕山大学信息科学与工程学院
姜成志,黑龙江科技学院计算机与信息工程系
叶明凤,黑龙江科技学院计算机与信息工程系
顾泽元,黑龙江科技学院计算机与信息工程系
于波,北京航空航天大学机器人研究所
刘荣,北京航空航天大学机器人研究所
张厚祥,北京航空航天大学机器人研究所
宗光华,北京航空航天大学机器人研究所
黄薇,上海大学计算机工程与科学学院
陆斌华,上海大学计算机工程与科学学院
郭坚,上海大学计算机工程与科学学院
马志强,上海大学计算机工程与科学学院
汪地,上海大学计算机工程与科学学院
林雄,琼州大学
郑千里,琼州大学
黄槐仁,琼州大学
刘煜,琼州大学
符海东,武汉科技大学计算机科学与技术学院
王中伟,武汉科技大学计算机科学与技术学院 湖北武汉430081
邱寄帆,成都航空职业技术学院计算机系
王海春,电子科技大学电子工程学院
唐斌,成都航空职业技术学院计算机系 四川成都610021
王灼,四川成都610054
潘峥嵘,兰州理工大学电气与信息工程学院
杜宝强,兰州理工大学电气与信息工程学院
王树东,兰州理工大学电气与信息工程学院
徐猛,兰州理工大学电气与信息工程学院
杨宜民,广东工业大学自动化学院 广东广州510090
陈琦,燕山大学信息科学与工程学院
曾理智,清华大学智能控制与技术国家实验室
王珏,清华大学智能控制与技术国家实验室
孙增圻,清华大学智能控制与技术国家实验室
张秋余,兰州理工大学计算机与通信学院
迟宁,兰州理工大学计算机与通信学院
刘晔,兰州理工大学计算机与通信学院
张兆印,黑龙江大学计算机科学技术学院 黑龙江哈尔滨150080
杨东鹤,浙江理工大学信息电子学院
刘喜昂,浙江科技学院信息与电子工程学院 浙江杭州310018
魏兰,武汉理工大学物流工程学院
李文锋,武汉理工大学物流工程学院
陈维克,武汉理工大学物流工程学院
蔡京平,北京理工大学计算机科学技术学院计算机科学工程系
邓宏彬,北京理工大学计算机科学技术学院计算机科学工程系
贾云得,北京理工大学计算机科学技术学院计算机科学工程系
冯建周,燕山大学信息科学与工程学院
王晓寰,燕山大学信息科学与工程学院
柯文德,茂名学院计算机系 广东茂名525000
熊举峰,中南大学信息科学与工程学院
谭冠政,中南大学信息科学与工程学院 湖南长沙410083湖南师范大学物理与信息科学学院
柯文德,茂名学院计算机系
李家兰,茂名学院计算机系 广东茂名525000
王萌,广西工学院计算机工程系
王晓荣,广西工学院计算机工程系
李春贵,广西工学院计算机工程系
张增芳,广西工学院计算机工程系
王清阳,华南理工大学自动化学院自动化与网络工程系
王征,中国科学院沈阳自动化研究所 广州广东510640
邬大为,上海大学机电工程与自动化学院
阮毅,上海大学机电工程与自动化学院
任志斌,上海大学机电工程与自动化学院
吴伟华,江苏大学计算机科学与通信工程学院
刘一松,江苏大学计算机科学与通信工程学院 江苏镇江212013
张巧荣,河南财经学院信息学院
李淑红,河南财经学院信息学院 河南郑州450002
杨佳,西南科技大学信息工程学院
陈小宁,西南科技大学信息工程学院
周军,东华大学信息科学与技术学院
邵世煌,东华大学信息科学与技术学院
陈盛,东华大学信息科学与技术学院
彭志平,茂名学院计算机系
张兆印,黑龙江大学计算机科学与技术学院
李怀俊,广东工业大学自动化学院
曹志广,广东工业大学自动化学院
梅雪竹,广东工业大学自动化学院
师黎,郑州大学电气工程学院
邵国,郑州大学电气工程学院
刘国海,江苏大学电气信息工程学院
朱珠,江苏大学电气信息工程学院
阮力,北方工业大学机电工程学院
李小坚,北方工业大学机电工程学院
殷晨波,常熟理工学院计算机科学与工程学院
郑冬华,常熟理工学院计算机科学与工程学院
冯元华,暨南大学电子工程系
王思华,暨南大学电子工程系
柳宁,暨南大学电子工程系
王高,暨南大学电子工程系
陈花,兰州理工大学计算机与通信学院
张远平,兰州理工大学计算机与通信学院
林强,兰州理工大学计算机与通信学院
宁建华,南京工业大学自动化学院
俞辉,南京工业大学自动化学院
赵英凯,南京工业大学自动化学院
朱俊宏,同济大学中德学院
孙泽昌,同济大学中德学院
李玮燕,贵州大学电工学院
张赟,贵州大学电工学院
陈进军,贵州大学电工学院
能昌信,贵州大学电工学院
董路,贵州大学电工学院
赵静,上海大学计算机工程与科学学院
郭小勤,深圳大学机电与控制工程学院
李广丽,华东交通大学软件学院
张红斌,华东交通大学软件学院
刘觉夫,华东交通大学软件学院
黄志辉,中南大学
武秀媛,中南大学
吴向葵,中南大学
李刚卿,中南大学
孟蕊,北京工商大学计算机与信息工程学院
苏维均,北京工商大学计算机与信息工程学院
连晓峰,北京工商大学计算机与信息工程学院
陈杜勇,华南理工大学计算机科学与工程学院
肖南峰,华南理工大学计算机科学与工程学院
刘洋,华南理工大学计算机科学与工程学院
赵颖,聊城大学汽车与交通工程学院
孙群,聊城大学汽车与交通工程学院
张民,聊城大学汽车与交通工程学院
杨少平,复旦大学电子工程系
孔庆生,复旦大学电子工程系
徐英欣,桂林空军学院雷达火控教研室
黄斌,桂林空军学院雷达火控教研室
陈伟,上海大学计算机工程与科学学院
陈明,上海大学计算机工程与科学学院
魏武,华南理工大学自动化科学与工程学院
朱红山,华南理工大学自动化科学与工程学院
陈开,上海大学计算机工程与科学学院
阳诚海,上海大学计算机工程与科学学院
许华虎,上海大学计算机工程与科学学院
罗乾又,西南科技大学机器人技术及应用四川省重点实验室
张华,西南科技大学机器人技术及应用四川省重点实验室
王姮,西南科技大学机器人技术及应用四川省重点实验室
解兴哲,西南科技大学机器人技术及应用四川省重点实验室
刘钰,金陵科技学院信息技术学院
周川,金陵科技学院信息技术学院
张燕,金陵科技学院信息技术学院
徐云龙,金陵科技学院信息技术学院
张占,华南理工大学自动化科学与工程学院
蒋湘军,华南理工大学自动化科学与工程学院
谢丽君,华南理工大学计算机科学与工程学院
文翰,华南理工大学计算机科学与工程学院
刘付民,河南理工大学计算机科学与技术学院
武善玉,华南理工大学计算机科学与工程学院
张平,华南理工大学计算机科学与工程学院
李方,华南理工大学计算机科学与工程学院
汤文俊,第二炮兵工程学院三系
张国良,第二炮兵工程学院三系
敬斌,第二炮兵工程学院三系
余阳,江苏科技大学电子与信息学院
林明,江苏科技大学电子与信息学院
林永才,江苏科技大学电子与信息学院
梁家海,钦州学院数学与计算机科学学院
朱海波,沈阳工业大学信息科学与工程学院
邹凤山,沈阳工业大学信息科学与工程学院
赵彬,沈阳工业大学信息科学与工程学院
薛白,常州大学机器人研究所
段锁林,常州大学机器人研究所
邹凌,常州大学机器人研究所
戴伟力,华南理工大学自动化科学与工程学院
刘冬,武汉科技大学 冶金自动化及检测技术教育部工程研究中心
闵华松,武汉科技大学 冶金自动化及检测技术教育部工程研究中心
杨杰,武汉科技大学 冶金自动化及检测技术教育部工程研究中心
叶锦华,华南理工大学机械与汽车工程学院
郑炳坤,华南理工大学机械与汽车工程学院
李迪,华南理工大学机械与汽车工程学院
叶峰,华南理工大学机械与汽车工程学院
彭聿松,四川大学电气信息学院
佃松宜,四川大学电气信息学院
刘涛,四川大学电气信息学院
吴璋,四川大学电气信息学院
宋俊霖,四川大学电气信息学院
邹腾跃,华中科技大学国家数控系统工程技术研究中心
唐小琦,华中科技大学国家数控系统工程技术研究中心
宋宝,华中科技大学国家数控系统工程技术研究中心
陈吉红,华中科技大学国家数控系统工程技术研究中心
姚冬冬,武汉科技大学冶金自动化与检测技术教育部工程研究中心
闵华松,武汉科技大学计算机科学与技术学院
周霞,上海理工大学光电信息与计算机工程学院
何建忠,上海理工大学光电信息与计算机工程学院
王宝磊,上海理工大学光电信息与计算机工程学院
王晟,武汉科技大学计算机科学与技术学院
陈友东,武汉科技大学计算机科学与技术学院
吴俊君,广东食品药品职业学院基础部
胡国生,华南理工大学机械与汽车工程学院
朱军燕,中山出入境检验检疫局技术中心
艾菲,西南科技大学计算机学院
宋晖,西南科技大学计算机学院
李波,中国科学院沈阳自动化研究所
赵怀慈,中国科学院大学
孙士洁,中国科学院光电信息处理重点实验室
花海洋,辽宁省图像理解与视觉计算重点实验室
韩家新,西安石油大学计算机学院
刘彦伯,西安石油大学计算机学院
张旭华,西安石油大学计算机学院
杨盛,西安石油大学计算机学院
李瑞峰,哈尔滨工业大学机器人技术与系统国家重点实验室
冀龙涛,哈尔滨工业大学机器人技术与系统国家重点实验室
罗洋,重庆大学机械工程学院
李奇敏,重庆大学机械工程学院
温皓宇,重庆大学机械工程学院
邵雪松,江苏省电力公司电力科学研究院
黄奇峰,江苏省电力公司电力科学研究院
蔡奇新,江苏省电力公司电力科学研究院
刘建,江苏省电力公司电力科学研究院
王伟,江苏省电力公司电力科学研究院
张琴丽,武汉科技大学信息科学与工程学院
吴怀宇,武汉科技大学信息科学与工程学院
陈洋,武汉科技大学信息科学与工程学院
王琨,江南大学江苏省食品先进制造装备技术重点实验室
骆敏舟,江南大学江苏省食品先进制造装备技术重点实验室
曹毅,江南大学江苏省食品先进制造装备技术重点实验室
李可,江南大学江苏省食品先进制造装备技术重点实验室
张秋菊,江南大学江苏省食品先进制造装备技术重点实验室
郭卫平,北京工商大学计算机与信息工程学院
廉小亲,北京工商大学计算机与信息工程学院
苏中,北京工商大学计算机与信息工程学院
赵旭,北京工商大学计算机与信息工程学院
石琪琦,电子科技大学通信与信息工程学院
庄杰,电子科技大学通信与信息工程学院
黄炜,电子科技大学通信与信息工程学院
张佳东,电子科技大学通信与信息工程学院
左轩尘,电子科技大学通信与信息工程学院
王超杰,北京信息科技大学高动态导航技术北京市重点实验室
苏中,北京信息科技大学高动态导航技术北京市重点实验室
连晓峰,北京信息科技大学高动态导航技术北京市重点实验室
赵旭,北京信息科技大学高动态导航技术北京市重点实验室
闫林林,中国科学院沈阳自动化研究所机器人学国家重点实验室
徐方,中国科学院沈阳自动化研究所机器人学国家重点实验室
贾凯,中国科学院沈阳自动化研究所机器人学国家重点实验室
邹风山,中国科学院沈阳自动化研究所机器人学国家重点实验室
温素芳,内蒙古工业大学电力学院
郭光耀,鄂尔多斯市源盛光电有限责任公司
李月,北京理工大学机电学院
高峻峣,北京理工大学机电学院
赵靖超,北京理工大学机电学院
刘轶,北京理工大学机电学院
韩亮亮,电子科技大学通信与信息工程学院
王佳佳,西南交通大学电气工程学院
马磊,西南交通大学电气工程学院
韩晓霞,西南交通大学电气工程学院
徐智豪,西南交通大学电气工程学院
左韬,武汉科技大学信息科学与工程学院
闵华松,武汉科技大学信息科学与工程学院
张雄希,武汉科技大学信息科学与工程学院
吴俊君,广东食品药品职业学院软件学院
杨丹,南昌大学信息工程学院
刘小平,南昌大学信息工程学院
胡凌燕,南昌大学信息工程学院
黄海卫,常州大学信息科学与工程学院
孔令成,中国科学院合肥物质科学研究院
谭治英,常州先进制造研究所
王雪瑞,河南工程学院计算机学院
周岩,河南工程学院计算机学院
毛丽民,常熟理工学院电气与自动化工程学院
朱培逸,常熟理工学院电气与自动化工程学院
卢振利,常熟理工学院电气与自动化工程学院
彭伟伟,常熟理工学院电气与自动化工程学院
郑伟勇,河南工程学院计算机学院
李艳玮,河南工程学院计算机学院
王旭辉,河南工程学院计算机学院
梁付新,山东大学控制科学与工程学院
刘洪彬,山东大学控制科学与工程学院
张福雷,山东大学控制科学与工程学院
常发亮,山东大学控制科学与工程学院
于振中,江南大学物联网工程学院
蔡楷倜,江南大学物联网工程学院
常天莉,广东工业大学自动化学院
黄浩晖,广东工业大学自动化学院
