name,label,author_id,type
谭冠政,中南大学信息科学与工程学院,198,person
盘辉,湖南师范大学物理与信息科学学院 长沙410081中南大学信息科学与工程学院长沙410083,199,person
孔凡天,华中科技大学国家数控系统工程技术研究中心,200,person
陈幼平,华中科技大学国家数控系统工程技术研究中心,201,person
谢经明,华中科技大学国家数控系统工程技术研究中心,202,person
张冈,华中科技大学国家数控系统工程技术研究中心,203,person
周祖德,华中科技大学国家数控系统工程技术研究中心,204,person
段清娟,西北工业大学,205,person
王润孝,西北工业大学,206,person
冯华山,西北工业大学,207,person
王立刚,西北工业大学,208,person
潘炼东,华中科技大学控制科学与工程系,209,person
黄心汉,华中科技大学控制科学与工程系 武汉430074,210,person
彭一准,中国科学院自动化研究所,211,person
原魁,中国科学院自动化研究所,212,person
谢雅,中南大学信息科学与工程学院,213,person
彭军,中南大学信息科学与工程学院,214,person
吴敏,中南大学信息科学与工程学院,215,person
肖海荣,山东交通学院信息工程系,216,person
周风余,山东大学控制学院,217,person
宋洪军,山东交通学院信息工程系 济南250023,218,person
刘文江,济南250061,219,person
高健,华中科技大学控制科学与工程系,220,person
王云刚,中国科学技术大学电子工程与信息科学系,221,person
陈保林,中国科学技术大学电子工程与信息科学系,222,person
符秀辉,中国科学院沈阳自动化研究所,223,person
化建宁,中国科学院沈阳自动化研究所 沈阳110015 沈阳化工学院,224,person
郑伟,沈阳110142 中国科学院研究生院,225,person
王越超,北京100081,226,person
胡庭波,国防科技大学机电工程与自动化学院,227,person
吴涛,国防科技大学机电工程与自动化学院,228,person
贺汉根,国防科技大学机电工程与自动化学院,229,person
慕延华,北京科技大学信息工程学院,230,person
尹怡欣,北京科技大学信息工程学院,231,person
涂序彦,北京科技大学信息工程学院,232,person
孙铁强,北京科技大学信息工程学院,233,person
周郭许,华南理工大学数学科学学院,234,person
唐西林,华南理工大学数学科学学院 广州510640,235,person
王俭,苏州科技学院电子与信息工程系,236,person
赵鹤鸣,苏州大学电子信息学院,237,person
肖金球,苏州科技学院电子与信息工程系 苏州215011,238,person
罗沛,华南理工大学自动化科学与工程学院,239,person
裴海龙,华南理工大学自动化科学与工程学院 广州510641,240,person
黄炳强,上海交通大学自动化系,241,person
曹广益,上海交通大学自动化系 上海200030,242,person
芮素波,江苏科技大学电子信息学院,243,person
曾庆军,江苏科技大学电子信息学院 江苏镇江212003,244,person
江美青,西北工业大学计算机学院,245,person
李孝安,西北工业大学计算机学院,246,person
谭然,西北工业大学计算机学院,247,person
肖乐,南京工业大学机械与动力工程学院,248,person
殷晨波,南京工业大学机械与动力工程学院,249,person
杨敏,南京工业大学机械与动力工程学院,250,person
张伯泉,广东工业大学自动化学院,251,person
于莲芝,上海交通大学电子信息学院820所,252,person
颜国正,上海交通大学电子信息学院820所 上海200240 上海理工大学光学与电子信息学院,253,person
王东署,郑州大学电气工程学院,254,person
张志佳,沈阳工业大学信息工程学院 郑州450001,255,person
袁杨,复旦大学电子工程系智能控制实验室,256,person
陈雄,复旦大学电子工程系智能控制实验室 上海200433,257,person
窦宏全,中南大学信息科学与工程学院 长沙410081 中南大学信息科学与工程学院,258,person
魏佩敏,绍兴文理学院工学院 浙江绍兴312000,259,person
周景雷,山东科技大学信息与电气工程学院,260,person
张维海,山东科技大学信息与电气工程学院 山东青岛266510,261,person
赵杰,哈尔滨工业大学机器人研究所,262,person
姜健,哈尔滨工业大学机器人研究所,263,person
臧希喆,哈尔滨工业大学机器人研究所,264,person
唐国新,复旦大学信息学院,265,person
陈雄,复旦大学信息学院,266,person
袁杨,复旦大学信息学院,267,person
焦立男,南京理工大学计算机科学与技术学院模式识别与机器智能研究所,268,person
唐振民,南京理工大学计算机科学与技术学院模式识别与机器智能研究所 南京210094,269,person
彭日亮,广东工业大学自动化学院,270,person
杨宜民,广东工业大学自动化学院,271,person
王赟,广东工业大学自动化学院,272,person
成伟明,南京理工大学计算机科学与技术系,273,person
唐振民,南京理工大学计算机科学与技术系,274,person
赵春霞,南京理工大学计算机科学与技术系,275,person
张晓晖,西安理工大学自动化与信息工程学院,276,person
刘丁,西安理工大学自动化与信息工程学院 西安710048,277,person
秦政,哈尔滨工程大学自动化学院,278,person
丁福光,哈尔滨工程大学自动化学院,279,person
边信黔,哈尔滨工程大学自动化学院,280,person
李全民,山东建筑大学信息与电气工程学院,281,person
张运楚,山东建筑大学信息与电气工程学院,282,person
李俊策,山东建筑大学信息与电气工程学院,283,person
闫继宏,哈尔滨工业大学机器人研究所,284,person
